型式,行政區,場名,位置,大車,小車,機車,收費標準,管理業者,聯絡電話,履約起迄
平面,前鎮區,后安,后安路、天倫街,0,73,0,小車計次(30元/6小時),歐特儀股份有限公司,0903135731,112/01/01～116/12/31
平面,前鎮區,管仲,管仲路、光華三路,0,229,50,小車計次(30元/6小時),歐特儀股份有限公司,0903135731,112/04/01～117/03/31
平面,前鎮區,光華,光華三路、ㄧ心一路203巷,0,212,0,小車計次(30元/6小時),歐特儀股份有限公司,0903135731,112/04/01～117/03/31
平面,前鎮區,瑞北,瑞北路、瑞恩街,0,27,0,小車計次(30元/6小時),歐特儀股份有限公司,0903135731,112/05/01～117/04/30
平面,前鎮區,瑞福,瑞福路、瑞安街口,0,55,26,小車計次(30元/6小時),歐特儀股份有限公司,0903135731,112/05/01～117/04/30
平面,前鎮區,瑞豐,"A區：瑞福路瑞豐國小對面(14格)
B區：瑞泰街近瑞福路口(21格)",0,35,34,小車計次(30元/6小時),歐特儀股份有限公司,0903135731,112/05/01～117/04/30
平面,前鎮區,瑞昌,瑞隆路190巷4弄、瑞福路口,0,11,0,小車計次(30元/6小時),歐特儀股份有限公司,0903135731,112/05/01～117/04/30
平面,前鎮區,瑞泰,瑞泰街近瑞福路,0,26,0,小車計次(30元/6小時),歐特儀股份有限公司,0903135731,112/05/01～117/04/30
平面,前鎮區,崗山仔公園,瑞豐國小對面,0,100,0,小車計時(15元/半小時),歐特儀股份有限公司,0903135731,112/03/01～117/02/29
平面,前鎮區,鎮興,凱旋四路、鎮興路口,0,65,0,小車計次(30元/6小時),歐特儀股份有限公司,0903135731,111/08/01～116/07/31
平面,前鎮區,鎮賢,鎮賢街52巷旁,0,23,20,小車計次(30元/6小時),歐特儀股份有限公司,0903135731,111/09/01～116/08/31
平面,前鎮區,鎮榮,鎮榮街、鎮華街,0,60,0,小車計次(30元/6小時),歐特儀股份有限公司,0903135731,111/08/01～116/07/31
平面,前鎮區,向榮,向榮街、崇安街,0,17,0,小車計次(30元/6小時),歐特儀股份有限公司,0903135731,111/09/01～116/08/31
平面,前鎮區,明義,草衙二路與中平路口,0,32,0,小車計時(15元/半小時),國雲科技股份有限公司,0800779979,
平面,前鎮區,成功二路,成功二路、時代大道口,0,63,31,小車計時(15元/半小時),歐特儀股份有限公司,0903135731,112/03/01～117/02/29
平面,前鎮區,民權二路,民權二路、衡山街,0,47,0,小車計時(15元/半小時),國雲科技股份有限公司,0800779979,
平面,前鎮區,仁愛三街,仁愛三街18號旁,0,20,11,小車計時(15元/半小時),歐特儀股份有限公司,0903135731,111/11/01～116/10/31
平面,前鎮區,凱旋三路,凱旋三路與賢明路,0,24,22,小車計次(30元/6小時),歐特儀股份有限公司,0903135731,111/08/01～116/07/31
平面,前鎮區,凱旋四路,中華五路、凱旋四路口,0,150,61,小車計時(15元/半小時),國雲科技股份有限公司,0800779979,
平面,前鎮區,新光,成功路高雄展覽館旁,22,911,578,"機車平日計次(15元/日)
機車假日計次(30元/日)
小車平日計時(15元/半小時)
小車假日計時(20元/半小時)
大車平日計時(30元/半小時)
大車假日計時(40元/半小時)",,,
平面,前鎮區,前鎮高中捷運站機車,捷運前鎮高中站1號出口旁,0,0,188,-,,,
平面,旗津區,旗津老街,發祥街與旗津三路口,0,105,0,"小車週一至週四計次(50元/6小時)
小車週五及假日計時(25元/半小時)",歐特儀股份有限公司,0903135731,112/01/01～116/12/31
平面,旗津區,旗津海岸,旗津海水浴場旁,22,92,0,"小車週一至週四計次(50元/6小時)
小車週五及假日計時(25元/半小時)
大車週一至週四計次(100元/6小時)
大車週五及假日計時(60元/半小時)",歐特儀股份有限公司,0903135731,112/01/01～116/12/31
平面,旗津區,中洲,中洲二路、中洲二路204號旁,0,23,40,小車週五及假日計次(30元/6小時),歐特儀股份有限公司,0903135731,112/01/01～116/12/31
平面,旗津區,中興市場,廣澤街、商港街,0,18,0,小車週五及假日計次(30元/6小時),歐特儀股份有限公司,0903135731,112/01/01～116/12/31
立體,小港區,"小港
(地下)",小港路175號,0,219,0,小車計時(15元/半小時),辰淵企業股份有限公司,(07)8159068,111/05/01～116/04/30
立體,小港區,"小港自行車
(地上)",西部濱海公路250-260號,0,0,129,-,歐特儀股份有限公司,0903030408,110/04/01～115/03/31
平面,小港區,二苓,二苓路176巷,0,12,24,小車計次(30元/6小時),歐特儀股份有限公司,0903135731,112/01/01～116/12/31
平面,小港區,中光,中光街、中光街22巷,0,25,0,小車計次(30元/6小時),歐特儀股份有限公司,0903135731,111/11/01～116/10/31
平面,小港區,店北,店北路、店鳳街,0,21,0,小車計次(30元/6小時),歐特儀股份有限公司,0903135731,111/10/01～116/09/30
平面,小港區,松崗,松崗路、松崗路18巷,0,19,14,小車計次(30元/6小時),歐特儀股份有限公司,0903135731,111/10/01～116/09/30
平面,小港區,華山,華山路、華仁街口,0,31,0,小車計次(30元/6小時),歐特儀股份有限公司,0903135731,111/11/01～116/10/31
平面,小港區,小港鳳陽,鳳陽街18巷及6巷間,0,20,0,-,國雲科技股份有限公司,0800779979,
平面,小港區,"小港鳳盛
(鳳興)",鳳盛街38號對面,0,17,0,-,國雲科技股份有限公司,0800779979,
平面,小港區,龍鳳,龍鳳街、朝福街,0,30,0,-,國雲科技股份有限公司,0800779979,
平面,小港區,港興社區,小港路90巷3弄、120巷,0,45,0,小車計次(30元/6小時),國雲科技股份有限公司,0800779979,
平面,小港區,平和,平和路、平和南路,0,46,0,小車計次(30元/6小時),環球大宇宙太陽能工業有限公司,0980889269,110/06/01～120/04/30
平面,小港區,高坪,"A區：高坪7路、高坪22路(62格)
B區：高坪23路、高坪32街(27格)",0,89,0,-,全盈光電有限公司,0800035518,111/09/01～121/07/31
平面,大寮區,仁德116,大寮地政事務所旁,0,145,103,-,,,
平面,大寮區,大寮停二,中山高級工商職業學校對面,44,130,0,"小車計時(15元/半小時)
大車計時(30元/半小時)",竑穗興業股份有限公司,(07)2239489,110/07/01～115/12/31
立體,林園區,"林園
(地上)",林園區林園南路77號,0,244,67,計時(5元/半小時),竑穗興業股份有限公司,(07)6460526,108/07/01～113/06/30
平面,林園區,林園田中央,東林西路249巷,0,45,0,-,國雲科技股份有限公司,0800779979,
,,,,,,,,,,
,,,,505,"25,954","8,420",,,,
